Critic,Movie,Year,Recommends
Alex Abad-Santos,Venom,2018,1
Alex Abad-Santos,Crazy Rich Asians,2018,1
Alex Abad-Santos,Ant-Man and the Wasp,2018,1
Alex Abad-Santos,Ocean's 8,2018,1
Alex Abad-Santos,Deadpool 2,2018,1
Alex Abad-Santos,Avengers: Infinity War,2018,1
Alex Abad-Santos,Black Panther,2018,1
Alex Abad-Santos,Call Me by Your Name,2018,1
Alex Abad-Santos,Justice League,2017,0
Alex Abad-Santos,Thor: Ragnarok,2017,1
Alex Abad-Santos,Despicable Me 3,2017,0
Alex Abad-Santos,Spider-Man: Homecoming,2017,1
Alex Abad-Santos,Wonder Woman,2017,1
Alex Abad-Santos,Baywatch,2017,0
Alex Abad-Santos,Guardians of the Galaxy Vol. 2,2017,1
Alex Abad-Santos,Beauty and the Beast,2017,1
Alex Abad-Santos,Fifty Shades Darker,2017,0
Alex Abad-Santos,Doctor Strange,2016,1
Alex Abad-Santos,Michael Moore In TrumpLand,2016,0
Alex Abad-Santos,The Secret Life of Pets,2016,1
Alex Abad-Santos,The Legend of Tarzan,2016,0
Alex Abad-Santos,The Shallows,2016,0
Alex Abad-Santos,Teenage Mutant Ninja Turtles: Out of the Shadows,2016,0
Alex Abad-Santos,Captain America: Civil War,2016,1
Alex Abad-Santos,Hardcore Henry,2016,1
Alex Abad-Santos,Batman v Superman: Dawn of Justice,2016,0
Alex Abad-Santos,Deadpool,2016,1
Alex Abad-Santos,The Age of Adaline,2015,0
Alex Abad-Santos,American Ultra,2015,0
Alex Abad-Santos,Insurgent,2015,0
Alex Abad-Santos,Max,2015,0
Alex Abad-Santos,Aloha,2015,0
Alex Abad-Santos,Pitch Perfect 2,2015,1
Alex Abad-Santos,The Longest Ride,2015,0
Alex Abad-Santos,Furious 7,2015,1
Alex Abad-Santos,Magic Mike XXL,2015,1
Alex Abad-Santos,San Andreas,2015,0
Alex Abad-Santos,Unfriended,2015,1
Alex Abad-Santos,Get Hard,2015,0
Alex Abad-Santos,The Man From U.N.C.L.E.,2015,1
Alex Abad-Santos,Jurassic World,2015,1
Alex Abad-Santos,Inside Out,2015,1
Alex Abad-Santos,Fifty Shades of Grey,2015,1
Kate Abbott,King Charles III on Masterpiece,2017,1
Alana Joli Abbott,The Grinch,2018,1
Ferdosa Abdi,A Star Is Born,2018,1
Ferdosa Abdi,Bad Times at the El Royale,2018,1
Ferdosa Abdi,Assassination Nation,2018,1
Ferdosa Abdi,The House with a Clock in Its Walls,2018,1
Ferdosa Abdi,Where Hands Touch,2018,1
Ferdosa Abdi,Sierra Burgess Is a Loser,2018,1
Ferdosa Abdi,The Mummy,2017,0
Ferdosa Abdi,To All the Boys I've Loved Before,2018,1
Ferdosa Abdi,The Man Who Invented Christmas,2017,1
Ferdosa Abdi,The Fate of the Furious,2017,1
Ferdosa Abdi,"I, Tonya",2018,1
Ferdosa Abdi,Mute,2018,1
Ferdosa Abdi,"Love, Simon",2018,1
Ferdosa Abdi,Skyscraper,2018,1
Ferdosa Abdi,Set It Up,2018,0
Ferdosa Abdi,Tomb Raider,2018,1
Ferdosa Abdi,Breaking In,2018,1
Ferdosa Abdi,Hereditary,2018,1
